,name,neighbourhood,latitude,longitude,room_type
138,Classic but Modern Apartment,Cuauhtémoc,19.41633,-99.17505,Private room
139,Sunny 2-bdr. apartment in Condesa! ,Cuauhtémoc,19.41465,-99.17811,Entire home/apt
140,AMAZING LOFT in the heart of CDMX,Miguel Hidalgo,19.40321,-99.17758,Entire home/apt
141,Suite 5 - Suites Condesa Mexico,Cuauhtémoc,19.40846,-99.17345999999999,Entire home/apt
142,Suite 7 - Suites Condesa Mexico,Cuauhtémoc,19.41016,-99.1739,Entire home/apt
143,Suite 12 - Suites Condesa Mexico,Cuauhtémoc,19.40997,-99.17277,Entire home/apt
144,Apartment with Internet & 2 cable TV's,Coyoacán,19.34277,-99.15553,Entire home/apt
145,Casa Indigo in the Center Mex City 10-29 Persons,Cuauhtémoc,19.44286,-99.14719000000001,Entire home/apt
146,department only men share,Miguel Hidalgo,19.41007,-99.19358000000001,Private room
147,Well located on calm neighborhood,Benito Juárez,19.38265,-99.18203000000001,Private room
148,"Beautiful, Big apartment, Condesa,",Cuauhtémoc,19.41496,-99.17367,Entire home/apt
149,Centric Mexico City,Benito Juárez,19.391679999999997,-99.1629,Entire home/apt
150,"airy, lovely room in private residence, Girasol",Coyoacán,19.34392,-99.16939,Private room
151,Business Suite RED near Reforma Av.,Cuauhtémoc,19.42994,-99.16954,Entire home/apt
152,"Elegant b & b room, Coyoacan",Coyoacán,19.34434,-99.17107,Private room
153,Business Suite PURPLE near Reforma,Cuauhtémoc,19.430989999999998,-99.17047,Entire home/apt
154,Business Suite BLUE near Reforma Av,Cuauhtémoc,19.43038,-99.16972,Entire home/apt
155,Business Suite BLACK near Reforma,Cuauhtémoc,19.42984,-99.16936,Entire home/apt
156,CASA INDIGO 3 IN THE CENTER OF MEX. CITY,Cuauhtémoc,19.44199,-99.14654,Private room
157,"592 ft at Downtown, Mexico City",Cuauhtémoc,19.43644,-99.13434000000001,Entire home/apt
158,Se renta habitación en el centro,Cuauhtémoc,19.4245,-99.13802,Private room
159,15 blocks from Paseo de la Reforma,Miguel Hidalgo,19.43982,-99.17104,Entire home/apt
160,"Room in Mexico City, Coyoacan.",Coyoacán,19.32667,-99.14259,Private room
161,Rent my room! ,Benito Juárez,19.40019,-99.14515,Private room
162,Radiant Apartment with Terrace in Roma Norte (1/4),Cuauhtémoc,19.421210000000002,-99.15498000000001,Entire home/apt
163,Studio Loft in Revived 18th Century Building,Cuauhtémoc,19.43245,-99.13868000000001,Entire home/apt
164,Studio with Bath in Etiopia,Benito Juárez,19.393320000000003,-99.16233000000001,Shared room
165,Turtle's Room in the South of DF,Coyoacán,19.308429999999998,-99.16942,Private room
166,HABITACION CON BAÑO IND AEROPUERTO ,Venustiano Carranza,19.41583,-99.08718,Private room
167,Nice Room at Roma-Condesa,Cuauhtémoc,19.40235,-99.16358000000001,Private room
168,NEW! HISTORIC BUILDING -BEST STREET,Cuauhtémoc,19.416120000000003,-99.16015,Entire home/apt
169,Colonial House Downtown Coyoacan,Coyoacán,19.34592,-99.1597,Entire home/apt
170,Private en suite in City house ,Cuauhtémoc,19.43918,-99.15518,Private room
171,PLAZA DEL ARCÁNGEL EN SAN ÁNGEL,Álvaro Obregón,19.343770000000003,-99.19288,Entire home/apt
172,"OASIS IN COYOACAN, SHARED HOUSE",Coyoacán,19.33983,-99.18266,Private room
173,"Location Polanco, close to plaza Carso and Antara",Miguel Hidalgo,19.4437,-99.20217,Entire home/apt
174,Feel the Magic of Mexico City from this Duplex Loft,Cuauhtémoc,19.43234,-99.13880999999999,Entire home/apt
175,Chilango chic: room in cozy apartment Condesa DF,Cuauhtémoc,19.40738,-99.16861,Private room
176,Beautiful Apartment CONDESA - ROMA NORTE,Cuauhtémoc,19.416929999999997,-99.17625,Entire home/apt
177,"Villa Alfonsina, Heart of Coyoacan",Coyoacán,19.35371,-99.16292,Private room
178,"LOCATION, LOCATION!!! REFORMA AREA!!!",Cuauhtémoc,19.43094,-99.16601,Entire home/apt
179,"Tlalpan,Close to TEC, private room.",Tlalpan,19.28535,-99.16073,Private room
180,Apartment at south of Mexico city,Coyoacán,19.30461,-99.18307,Private room
181,Studio CONDESA Excellent Location,Cuauhtémoc,19.41305,-99.17671999999999,Private room
182,Bedroom for rent,Iztapalapa,19.3217,-99.09015,Private room
183,CONDESA Studio Quiet Street,Cuauhtémoc,19.41362,-99.17602,Private room
184,Apartment 5 mins. From AirPort.,Venustiano Carranza,19.41305,-99.08847,Private room
185,Apartment well located in Mexico DF,Benito Juárez,19.37205,-99.16908000000001,Private room
186,Single's Studio; near the WTC & Condesa,Miguel Hidalgo,19.40144,-99.18467,Entire home/apt
187,"Comfort, convenience & security, all in one place",Benito Juárez,19.36763,-99.17944,Entire home/apt
188,"Location & security, double bedroom apartment",Benito Juárez,19.366870000000002,-99.17905999999999,Private room
189,Beautiful and comfortable bedroom ,Tlalpan,19.30171,-99.21581,Private room
190,Rento habitacion privada,Miguel Hidalgo,19.42916,-99.20185,Private room
191,Beautiful designer artists home..,Coyoacán,19.35051,-99.15265,Entire home/apt
192,"Cuarto Amplio con Estudio, Roma DF.",Cuauhtémoc,19.41491,-99.15684,Private room
193,"Renew Room, near to Condesa",Benito Juárez,19.39174,-99.18851,Private room
194,Suite 1 - Suites Condesa Mexico,Cuauhtémoc,19.40877,-99.17381,Entire home/apt
195,"Great Room, Hosts, Apt & Location",Cuauhtémoc,19.43001,-99.17155,Private room
196,"Private Room & Terrace in La Condesa, Mexico City",Cuauhtémoc,19.4042,-99.17312,Private room
197,Room & bathroom in great house!,Coyoacán,19.35529,-99.163,Private room
198,"Condesa Private Room,Great Location",Cuauhtémoc,19.41207,-99.17755,Private room
199,Cosy apartment in Polanco near park,Miguel Hidalgo,19.42834,-99.19382,Entire home/apt
200,Great Views of HipodromoCondesa!,Cuauhtémoc,19.40277,-99.17005999999999,Entire home/apt
201,Small apartment in Coyoacan,Coyoacán,19.34242,-99.15955,Private room
202,"Room in Coyoacan for 1,2 or 3months :)",Coyoacán,19.34062,-99.15701999999999,Private room
203,Cozy & beautiful flat in quiet hood,Coyoacán,19.344829999999998,-99.15786,Private room
204,"Fabulous Suite, ideal couples, near WTC & Condesa",Miguel Hidalgo,19.40306,-99.18436,Entire home/apt
205,"Cozy Suite, ideal couples, near WTC & Condesa",Miguel Hidalgo,19.403470000000002,-99.18325,Entire home/apt
206,Condesa Private Room Ideal Location,Cuauhtémoc,19.412,-99.17793,Private room
207,Rooftop terrace in the heart of centro historico,Cuauhtémoc,19.427970000000002,-99.13297,Private room
208,"Loft! Pool & Gym, WiFi Reforma Ave.",Cuauhtémoc,19.42716,-99.16508,Entire home/apt
209,"Comfortable, beautiful and convenient pied à terre",Miguel Hidalgo,19.43545,-99.18216,Entire home/apt
