,store_name,street_address,state_name,country_name,postcode,longitude,latitude,id
9261,Jurica,"Av 5 de Febrero 9200 Col Fraccionamiento, Zona Industrial Benito Juarez",DIF,MX,76100,-100.43,20.65,77
9262,Medica Sur Tlalpan,"150, Col. Toriello",DIF,MX,14050,-99.16,19.3,78
9263,5 de Mayo,"Av. 5 de mayo #19 Col. Centro, Delegacion Cuauhtemoc",DIF,MX,6000,-99.14,19.43,79
9264,Eugenia,"Eugenia #1,062",DIF,MX,3100,-99.17,19.39,80
9265,Mexfund Pedregal,"Periferico sur # 4132, Col. Jardines Del Pedregal",DIF,MX,19000,-99.21,19.31,81
9266,WTC,"Insurgentes Sur #729, local b Col. Napoles, Del. Benito Juarez",DIF,MX,3810,-99.17,19.39,82
9267,Bosques Horizontes,"Paseo de los Laureles #458 Col, Bosques de las Lomas",DIF,MX,5120,-99.25,19.39,83
9268,Plaza Delta,"Av. Cuauhtemoc esq. Obrero Mundial, Col. Narvarte",DIF,MX,3000,-99.15,19.4,84
9269,Los Atrios Antara Polanco,Ejercito Nacional #843,DIF,MX,11510,-99.2,19.44,85
9270,Plaza Central,"Avenida Canal Río Churubusco No. 1635, Colonia Central de Abastos",DIF,MX,9410,-99.1,19.38,86
9271,Torre Mexicana,"Xola 535 esquina Mier y Pesado, Col. Del Valle",DIF,MX,11560,-99.17,19.4,87
9272,Moliere 222,"Moliere # 222 Col. Los Morales, Del. Miguel Hidalgo",DIF,MX,11540,-99.2,19.43,88
9273,Nuevo Leon,Av. Nuevo Leon # 188,DIF,MX,6100,-99.17,19.41,89
9274,Corporativo Polanco,"Jaime Balmes #8, Local 4, Colonia Los Morales Polanco,",DIF,MX,,-99.21,19.44,90
9275,Centro Comercial Santa Fe 2,"Av. Vasco de Quiroga 3800, Local 155",DIF,MX,5109,-99.28,19.36,91
9276,Insurgentes La Joya,"Insurgentes Sur No. 4184 p.b. loc 1, Col. La Joya",DIF,MX,14000,-99.17,19.28,92
9277,Horacio,326 Horacio Plaza Cantera,DIF,MX,,-99.19,19.43,93
9278,MEX - Mexico City Airport T2 PA INT,"Capitan Carlos Leon s/n Colonia Penon, de los Banos",DIF,MX,15620,-99.08,19.42,94
9279,Angeles Acoxpa,"Av. Acoxpa No.430 Col. Ex Hacienda Coapa, Delegacion Tlalpan",DIF,MX,2430,-99.14,19.3,95
9280,Centro Medico ABC Santa Fe,"Av Carlos Graef Fernandez #154 Local P.B, Col. Cuajimalpa",DIF,MX,5000,-99.28,19.36,96
9281,Plaza Luis Cabrera,"Plaza Luis Cabrera # 5 Local 1, Col Roma",DIF,MX,6700,-99.16,19.42,97
9282,ITESM Mexico City Campus,Carr. Lago de Guadalupe Km. 3.5 Col. Mar,DIF,MX,52926,-99.23,19.59,98
9283,Portal Churbusco,"Av. Rio Churubusco No.583 Local B10, Col. Sector Popular",DIF,MX,9060,-99.12,19.37,99
9284,Plaza Inn,"Av. Insurgentes Sur #1971, Col. Guadalupe Inn",DIF,MX,1020,-99.19,19.35,100
9285,Pedregal,"Crater 709,  Col. Pedregal de San Angel",DIF,MX,1900,-99.21,19.32,101
9286,Uruguay,"Republica de Urugual No. 56, Col. Centro, Delegacion Cuauhtemoc",DIF,MX,6000,-99.14,19.43,102
9287,MEX - Aeropuerto Int Dufry,"Av. Capitan Carlos Leon s/n,",DIF,MX,15620,-99.08,19.42,103
9288,Patio Revolucion,"Av Revolucion No. 1817, Colonia San Angel, Del. Alvaro Obregon",DIF,MX,1000,-99.19,19.34,104
9289,Galerias Atizapan,"Circuito Jimenez Cantu, Atizapan de, Zaragoza",DIF,MX,52977,-99.27,19.55,105
9290,Miguel Angel Quevedo 2,Av. Miguel A. De Quevedo  # 624,DIF,MX,,-99.17,19.34,106
